date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:34:39	20896/20896	---M--	200	added ('OK')	text/html	etag:%2206b862458ebdb1:0%22	https://dappscon.org/connect/main/view/others/form1.html	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/form1.html	(from )
03:34:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:34:40%20GMT	https://dappscon.org/robots.txt		(from )
03:34:42	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:34:42%20GMT	https://dappscon.org/icon.png	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/icon.1.delayed	(from https://dappscon.org/connect/main/view/others/form1.html)
03:34:46	761815/761815	---M--	200	added ('OK')	text/css	etag:%2209ec48f158da1:0%22	https://dappscon.org/connect/main/view/others/css/style.css	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/css/style.css	(from https://dappscon.org/connect/main/view/others/form1.html)
03:34:47	30931/30931	---M--	200	added ('OK')	text/css	etag:%220eb59cdf321d61:0%22	https://dappscon.org/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://dappscon.org/connect/main/view/others/form1.html)
03:34:47	761499/761499	---M--	200	added ('OK')	text/css	etag:%2209ec48f158da1:0%22	https://dappscon.org/connect/main/view/others/css/style2.css	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/css/style2.css	(from https://dappscon.org/connect/main/view/others/form1.html)
03:34:48	4753/4753	---M--	200	added ('OK')	application/javascript	etag:%220cb3d49f158da1:0%22	https://dappscon.org/connect/main/view/others/js/main.js	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/js/main.js	(from https://dappscon.org/connect/main/view/others/form1.html)
03:34:50	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:34:49%20GMT	https://dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.eot	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.6.delayed	(from https://dappscon.org/connect/main/view/others/css/style.css)
03:34:51	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:34:51%20GMT	https://dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.eot?	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.7d41d.delayed	(from https://dappscon.org/connect/main/view/others/css/style.css)
03:34:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:34:53%20GMT	https://dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.woff2	C:/Users/philip%20godwin/Desktop/goddy/aaaaaa/dappscon.org/connect/main/view/others/css/fonts/fontawesome/fa-solid-900.8.delayed	(from https://dappscon.org/connect/main/view/others/css/style.css)
